carrera,materias_1_s,materias_2_s,materias_3_s,materias_4_s,materias_5_s,materias_6_s,materias_7_s,materias_8_s,materias_9_s,especialidad,materias_e
ingenieria_industrial,quimica,metodologia_y_normalizacion,propiedad_de_los_materiales,procesos_de_fabricacion,gestion_de_costos,,,,,ingenieria_en_manufactura_y_calidad,sistemas_neumaticos_e_hidraulicos
,taller_de_etica,electricidad_y_electronica_industrial,economia,algoritmos_y_lenguajes_de_programacion,mercadotecnia,,,temas_selectos_de_manufactura,,ingenieria_en_manufactura_y_calidad,diseño_asistido_por_computadora
,calculo_diferencial,calculo_integral,calculo_vectorial,administracion_de_operadores_1,administracion_de_operaciones_2,,,core_tool,manufactura_flexible,ingenieria_en_manufactura_y_calidad,controladores_logicos_programables
,taller_de_herramientas_intelectuales,fisica,algebra_lineal,investigacion_de_operaciones_1,investigacion_de_operaciones_2,,,,,ingenieria_en_manufactura_y_calidad,temas_selectos_de_manufactura
,fundamentos_de_investigacion,probabilidad_y_estadistica,estadistica_inferencial_1,estadistica_inferencial_2,ontrol_estadistico_de_la_calidad,,,medicion_y_mejoramiento_de_la_productividad,,ingenieria_en_manufactura_y_calidad,core_tool
,dibujo_industrial,analisis_de_la_realidad_nacional,estudio_del_trabajo_1,estudio_del_trabajo_2,ergonomia,sistemas_neumaticos_e_hidraulicos,,robotica_industrial,,ingenieria_en_manufactura_y_calidad,medicion_y_mejoramiento_de_la_productividad
,actividades_complementarias,taller_de_liderazgo,administracion_de_proyectos,higiene_y_seguridad_industrial,desarrollo_sustentable,diseño_asistido_por_computadora,controladores_logicos_programables,,,ingenieria_en_manufactura_y_calidad,robotica_industrial
,,,,,,,,,,ingenieria_en_manufactura_y_calidad,manufactura_flexible
,,,,,,,,,,,
,,,,,,,,,,ingenieria_en_articulos_de_piel,
